일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/05/02","78000","500","0.65","77600","78600","77300","18880916","1473610246696","465643038900000","5969782550"
"2024/04/30","77500","800","1.04","77000","78500","76600","19007007","1477530164700","462658147625000","5969782550"
"2024/04/29","76700","0","0.00","77400","77600","76200","14664474","1124365701771","457882321585000","5969782550"
"2024/04/26","76700","400","0.52","77800","77900","76500","12755629","982996902900","457882321585000","5969782550"
"2024/04/25","76300","-2300","-2.93","77300","77500","76300","15549134","1195063612340","455494408565000","5969782550"
"2024/04/24","78600","3100","4.11","77500","78800","77200","22166150","1732478787054","469224908430000","5969782550"
"2024/04/23","75500","-600","-0.79","76400","76800","75500","18717699","1424154641605","450718582525000","5969782550"
"2024/04/22","76100","-1500","-1.93","77400","77500","75100","30469477","2320445983561","454300452055000","5969782550"
"2024/04/19","77600","-2000","-2.51","78300","78700","76300","31317563","2423649194900","463255125880000","5969782550"
"2024/04/18","79600","700","0.89","78800","80100","78300","21370190","1694196738983","475194690980000","5969782550"
"2024/04/17","78900","-1100","-1.38","80700","80800","78900","22611631","1800985510820","471015843195000","5969782550"
"2024/04/16","80000","-2200","-2.68","81200","81300","79400","31949845","2564077294862","477582604000000","5969782550"
"2024/04/15","82200","-1500","-1.79","82900","83200","81200","26663772","2187767452704","490716125610000","5969782550"
"2024/04/12","83700","-400","-0.48","84700","84900","83200","17061770","1429686717552","499670799435000","5969782550"
"2024/04/11","84100","500","0.60","83200","84700","82500","25538009","2138954129378","502058712455000","5969782550"
"2024/04/09","83600","-900","-1.07","84500","84900","83100","23725956","1991486775844","499073821180000","5969782550"
"2024/04/08","84500","0","0.00","85200","86000","84500","18953232","1614571568700","504446625475000","5969782550"
"2024/04/05","84500","-800","-0.94","84500","85000","83800","18883752","1593633428500","504446625475000","5969782550"
"2024/04/04","85300","1200","1.43","85200","85500","84300","25248934","2147309658606","509222451515000","5969782550"
"2024/04/03","84100","-900","-1.06","84300","85000","83500","30493347","2570591804242","502058712455000","5969782550"
"2024/04/02","85000","3000","3.66","82900","85000","82900","37077944","3125936951369","507431516750000","5969782550"
