"시점","항목",계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
"1980","합계:면적 (ha)",1233038,2553,3502,-,-,-,-,-,-,182422,56397,77724,175422,169041,208949,200036,154955,2037
"1980","합계:생산량:조곡 (톤)",5311406,12528,12191,-,-,-,-,-,-,867537,160237,283424,889916,898948,1034542,574512,571737,5834
"1980","논벼:면적 (ha)",1219841,2487,3502,-,-,-,-,-,-,179383,55987,76924,173188,166899,207594,199050,154017,810
"1980","논벼:10a당 생산량 (kg)",433,496,348,-,-,-,-,-,-,480,285,366,511,535,496,288,370,443
"1980","논벼:조곡:생산량 (톤)",5279051,12333,12191,-,-,-,-,-,-,860401,159712,281879,884415,892515,1030178,572380,569454,3593
"1980","밭벼:면적 (ha)",13197,66,-,-,-,-,-,-,-,3039,410,800,2234,2142,1355,986,938,1227
"1980","밭벼:10a당 생산량 (kg)",245,296,-,-,-,-,-,-,-,235,128,193,246,300,322,216,243,183
"1980","밭벼:조곡:생산량 (톤)",32355,195,-,-,-,-,-,-,-,7136,525,1545,5501,6433,4364,2132,2283,2241
"1981","합계:면적 (ha)",1223892,2552,-,-,-,-,-,3432,-,178978,55483,78361,175486,168827,209219,196222,153563,1769
"1981","합계:생산량:조곡 (톤)",7148703,13769,-,-,-,-,-,20051,-,988176,291357,437468,1062175,1098218,1226431,1129803,874888,6367
"1981","논벼:면적 (ha)",1212258,2437,-,-,-,-,-,3432,-,176814,55288,77780,173598,166555,207427,195320,152715,892
"1981","논벼:10a당 생산량 (kg)",587,550,-,-,-,-,-,584,-,555,526,560,608,655,588,577,572,450
"1981","논벼:조곡:생산량 (톤)",7113701,13414,-,-,-,-,-,20051,-,981797,290943,435865,1055921,1090762,1220650,1127429,872859,4010
"1981","밭벼:면적 (ha)",11634,115,-,-,-,-,-,-,-,2164,195,581,1888,2272,1792,902,848,877
"1981","밭벼:10a당 생산량 (kg)",301,309,-,-,-,-,-,-,-,295,212,276,331,328,323,263,239,269
"1981","밭벼:조곡:생산량 (톤)",35002,355,-,-,-,-,-,-,-,6379,414,1603,6254,7456,5781,2374,2029,2357
"1982","합계:면적 (ha)",1188073,2079,3467,3732,2118,-,-,-,-,176369,55822,77278,174841,169090,208505,168525,144524,1723
"1982","합계:생산량:조곡 (톤)",7307855,11173,20250,20559,13015,-,-,-,-,1057544,309448,482570,1153961,1141296,1305937,1004922,780489,6691
"1982","논벼:면적 (ha)",1175964,2044,3467,3719,2105,-,-,-,-,174734,55681,76649,172728,166530,206090,167556,143549,1112
"1982","논벼:10a당 생산량 (kg)",618,542,584,552,616,-,-,-,-,602,555,627,664,681,630,598,542,480
"1982","논벼:조곡:생산량 (톤)",7272837,11084,20250,20541,12970,-,-,-,-,1052672,309049,480771,1147390,1133795,1298620,1001870,778490,5335
"1982","밭벼:면적 (ha)",12109,35,-,13,13,-,-,-,-,1635,141,629,2113,2560,2415,969,975,611
"1982","밭벼:10a당 생산량 (kg)",289,254,-,135,349,-,-,-,-,298,283,286,311,293,303,315,205,222
"1982","밭벼:조곡:생산량 (톤)",35018,89,-,18,45,-,-,-,-,4872,399,1799,6571,7501,7317,3052,1999,1356
"1983","합계:면적 (ha)",1228481,1928,3443,4039,2172,-,-,-,-,176184,55846,79224,179490,171048,211193,189766,152386,1762
"1983","합계:생산량:조곡 (톤)",7607541,9897,20196,23451,12277,-,-,-,-,997414,297216,504335,1189682,1137058,1342991,1177206,889237,6581
"1983","논벼:면적 (ha)",1219645,1886,3443,4031,2157,-,-,-,-,175419,55778,78895,178082,169166,209230,188935,151518,1105
"1983","논벼:10a당 생산량 (kg)",622,518,587,581,567,-,-,-,-,567,533,638,666,669,639,622,585,481
"1983","논벼:조곡:생산량 (톤)",7582857,9774,20196,23429,12238,-,-,-,-,995234,297026,503364,1185359,1131374,1337769,1174638,887136,5320
"1983","밭벼:면적 (ha)",8836,42,-,8,15,-,-,-,-,765,68,329,1408,1882,1963,831,868,657
"1983","밭벼:10a당 생산량 (kg)",279,293,-,275,261,-,-,-,-,285,279,295,307,302,266,309,242,192
"1983","밭벼:조곡:생산량 (톤)",24684,123,-,22,39,-,-,-,-,2180,190,971,4323,5684,5222,2568,2101,1261
"1984","합계:면적 (ha)",1230861,1311,3356,3992,2124,-,-,-,-,175848,55937,79675,181148,172077,211904,190703,151412,1374
"1984","합계:생산량:조곡 (톤)",7970330,7030,19646,22943,12310,-,-,-,-,1067222,326690,516998,1255441,1181151,1424350,1211688,918730,6131
"1984","논벼:면적 (ha)",1224675,1302,3356,3991,2116,-,-,-,-,175223,55849,79447,180162,170674,210566,190261,150778,950
"1984","논벼:10a당 생산량 (kg)",649,538,585,575,581,-,-,-,-,608,584,650,695,690,675,636,608,537
