period	export    	import    	trade      	export.1000	export.log
2000.01	12162425 	12594623 	-432198 	12162 	4 
2000.02	12676042 	12023652 	652390 	12676 	4 
2000.03	14429703 	14212011 	217692 	14430 	4 
2000.04	13522040 	13344532 	177508 	13522 	4 
2000.05	14636755 	13283356 	1353399 	14637 	4 
2000.06	15250940 	13177511 	2073428 	15251 	4 
2000.07	14455656 	13671876 	783780 	14456 	4 
2000.08	14786880 	13441139 	1345741 	14787 	4 
2000.09	15133379 	13291803 	1841577 	15133 	4 
2000.1	15248068 	14104212 	1143855 	15248 	4 
2000.11	14989068 	14160418 	828650 	14989 	4 
2000.12	14976555 	13175885 	1800670 	14977 	4 
2001.01	12644929 	12431023 	213906 	12645 	4 
2001.02	13354074 	12732258 	621816 	13354 	4 
2001.03	14124891 	12951886 	1173005 	14125 	4 
2001.04	12121110 	11212192 	908918 	12121 	4 
2001.05	13306959 	11554834 	1752125 	13307 	4 
2001.06	12931941 	11718966 	1212975 	12932 	4 
2001.07	11392257 	11107564 	284693 	11392 	4 
2001.08	11766192 	11337826 	428366 	11766 	4 
2001.09	12447324 	11709659 	737665 	12447 	4 
2001.1	12086028 	11506884 	579144 	12086 	4 
2001.11	12348967 	11532771 	816196 	12349 	4 
2001.12	11914472 	11301958 	612514 	11914 	4 
2002.01	11381879 	11326430 	55450 	11382 	4 
2002.02	11023037 	10471161 	551875 	11023 	4 
2002.03	13251323 	11990097 	1261226 	13251 	4 
2002.04	13184534 	12559696 	624838 	13185 	4 
2002.05	14173177 	12698101 	1475075 	14173 	4 
2002.06	12894088 	11934221 	959867 	12894 	4 
2002.07	13395179 	13031773 	363406 	13395 	4 
2002.08	13959110 	12860751 	1098359 	13959 	4 
2002.09	13900763 	12991557 	909207 	13901 	4 
2002.1	15084659 	13817061 	1267597 	15085 	4 
2002.11	15196561 	13993431 	1203131 	15197 	4 
2002.12	15026217 	14451874 	574343 	15026 	4 
2003.01	14319931 	14494967 	-175036 	14320 	4 
2003.02	13337145 	13858274 	-521129 	13337 	4 
2003.03	15378850 	15870217 	-491367 	15379 	4 
2003.04	15720592 	14758747 	961845 	15721 	4 
